term,definition
STRIKFORSOUTH,NAVAL STRIKING AND SUPPORT FORCES SOUTHERN EUROPE
STUFT,SHIPS TAKEN UP FROM TRADE
SUBACLANT,SUBMARINES ALLIED COMMAND ATLANTIC
SUBEASTLANT,SUBMARINE FORCES EASTERN ATLANTIC AREA
SUBMED,SUBMARINES MEDITERRANEAN
SUBNORTHWEST,SUBMARINES FORCES NORTHWEST
SUBOPAUTH,SUBMARINE OPERATING AUTHORITY
SUBWESTLANT,SUBMARINE FORCES WESTERN ATLANTIC AREA
SUCOC,SUCCESSION OF COMMAND
SUPREMO,Sonar Performance Model
SUWWWG,SACLANT Underwater Warfare Working Group (closed)
SV,STRATEGIC VISION
SVDS,Self propelled Veriabel Depth Sonar
SWAN ,Secret Wide Area Network 
SWECCIS,SE CCIS
SWIFT,
SWIMS,Shallow Water Influence Minesweeping System
SWIP,Staff Work in Progress
SWOT,Strength Weakness Opportunities Threats
SWP,Supplementary Work Programme
SY,SECURITY
TA,Tasking Authority
TA,TECHNICAL ARRANGEMENT
TA,TOWED ARRAY
TA&F,Training Analysis and Feedback
TAB,Technology Advisory Board
TAC,TACTICAL AIR CONTROL
TACAN,TACTICAL AIR NAVIGATION (SYSTEM)
TACC,TACTICAL AIR CONTROL CENTRE
TACCIS,Tactical Area CCIS
TACCOM,TACTICAL COMMAND
TACCON,TACTICAL CONTROL
TACE,"TYPE ""A"" COST ESTIMATE"
TACEVAL,TACTICAL EVALUATION
TACON,Tactical Control
TACP,TACTICAL AIR CONTROL PARTY
TACS,TACTICAL AIR CONTROL SYSTEM
TACSAT,TACTICAL SATELLITE
TACSIT,Tactical Situation
TAD,Temporary Additional Duty
TAFCCIS,TU Air Force CCIS
TAG,TRI-MNC ALLOTMENT GROUP
TAL,TACTICAL AIR LIFT
TAM ,Thrust Area Manager 
TAMS,THEATER AIRLIFT MANAGEMENT SYSTEM
TAOO,THEATER AREA OF OPERATIONS
TAP,Technical Activity Proposal 
TAR,Technology Advisary Board
TAR,TACTICAL AIR RECONNAISSANCE
TAR,Thrust Area Review
TARE,Telegraph Automated Relay Equipment 
TASM,TACTICAL AIR TO SURFACE MISSILE
TASM,TOMAHAWK ANTI SHIP MISSILE
TASMO,TACTICAL AIR SUPPORT OF MARITIME OPERATIONS
TBA,TO BE ANNOUNCED
TBC,TO BE CONFIRMED
TBCE,Type-B-Cost Estimates 
TBCE,"TYPE ""B"" COST ESTIMATE"
TBD,TO BE DETERMINED
TBM,TACTICAL BALLISTIC MISSILE
TBMD,Theater Ballistic Missile Defense
TC,Tailored Capability
TC ,Target Capability 
TCA,TRAINER CARGO AIRCRAFT
TCCE,"TYPE ""C"" COST ESTIMATE"
TCM,TRANSPORT CREW MEMBERS
TCN,TROOP CONTRIBUTING NATION
TCSP,TERPS Criteria Sub
TD,TANK DIVISION
TDA ,Tactical Decision Aids 
TDF,TACTICAL DATA FUSION
TDI,TARGET DATA INVENTORY (US NATIONAL)
TDS,"Temperature, Depth, Salinity "
TDY,TEMPORARY DUTY
TECC,Training & Equipment Coordination Committee (Iraqi-chaired)
TECHINT,TECHNICAL INTELLIGENCE
TED ,Tactical Environmental Data 
TEDC,"Training, Education and Doctrine Centre"
TEED,"Training, Exercise and Evaluation Directive"
TEEP,Training and Education Enhancement Programme 
TEREC,TACTICAL ELECTRONIC RECONNAISSANCE
TERP,TELECOMMUNICATIONS EMERGENCY RECONSTRUCTION PROGRAMME
TERPS,Terminal Instrument Procedures
TESC,Training and Equipment Syncronisation Cell
TF,TASK FORCE
TG,TASK GROUP
THGM,Tactical High Grade Messaging
THREATCON,Threat Condition
TICCS,TUAF C2 Information System
TIDE,"Technology to achieve Information Superiority, Decision Superiority, and Execution Superiority "
TIDE,"Transformation of information technology towards Information Superiority, Decision Superiority and Execution Superiority"
TIM,Training Implementation Mission (see also NTIM-I)
TIO,Targeting and Information Operation
TIP,Training Implementation Plan
TIPSTER,SECURE ON-LINE TELETYPE SYSTEM (SHED FEATURE)
TIT,Transformational Implementation Team
TLAM,TOMAHAWK LAND ATTACK MISSILE
TLE,TREATY LIMITED EQUIPMENT
TM,Tactical Missile
TM,Test Manager
TMD,THEATRE MISSILE DEFENCE
TNA,Training Needs Analysis
TNCC,Transformation Networks Coordination Cell
TNF,THEATRE NUCLEAR FORCES
TNK,TANK
TNO-FEL ,Toegepast Natuurwetenschappelijk Onderzoek Fysisch en Elektronisch Laboratorium (Applied Scientific Research Physics and Electronics Laboratory) (NL) 
TO,Targeting Objectives 
TOA,Transfer of Authority
TOA,TRANSFER OF AUTHORITY
TOA,Transformation Objective Area
TOE,TABLE OF ORGANISATION AND EQUIPMENT
ToE,
TOP,TACTICAL OPERATION PROCEDURES
TOPFAS,"Tool for Operational Planning, Force Activation and Simulation"
TOR,TERMS OF REFERENCE
TOT,Time On Target
TP,Technical Publication
TPFDD,TIME PHASED FORCE AND DEPLOYMENT DATA
TPFDL,TIME PHASED FORCE AND DEPLOYMENT LIST
TPFDL,TIME PHASED FORCE DEPLOYMENT LIST
TPLSS,Third Party Logistics Support Study 
TPMC,Theater Patient Movement Centre
TPMRC,Theater Patient Movement Requirements Centre
TPRC,Theater Planning Response Cell
TR ,Time Reversal
TRADOC,Training and Doctrine Command
TRADOC,Iraqi Training Education and Doctrine Command 
TRL,Technology Readiness Levels 
TRRIP,THEATRE RAPID RESPONSE INTELLIGENCE PACKAGE
TSB,Transformation Steering Board (old TSG)
TSCM,TECHNICAL SURVEILLANCE COUNTER MEASURES
TSCO,TECHNICAL SURVEILLANCE COUNTER OPERATIONS
TSG,Transformational Steering Group (now again TSB/ Transformation Steering Board)
TSGCE,TRI-SERVICE GROUP ON COMMUNICATIONS AND ELECTRONIC EQUIPMENT
TSGT,TACTICAL SATELLITE GROUND TERMINAL
TSM,Target Setting Mode sweeping
TSMB,Transformation Support Management Board 
TSS,Target Selection Standards 
TST,Time Sensitive Target/ Targeting 
TSTL,Time Sensitive Target List 
TSWG,US DoD Technical Support Working Group
TT,Tiger Teams 
TT&C,"Telemetry, Tracking, Commanding "
TTBA ,Target Threat Behaviour Assumptions 
TTCP ,The Technical Cooperation Programme
TTP,"Tactics, Techniques and Procedures"
TTW,TRANSITION TO WAR
TWD,TOWED
UALG ,University of the Algarve (PO) 
UAR,Unconventional Assisted Recovery
UARM,Unconventional Assisted Recovery Mechanism
UAV,UNMANNED AIR VEHICLE
UAV,UNMANNED AIRIAL VEHICLE
UAVP,Unmanned Aerial Vehicle Panel 
UBL,UNIT BASIC LOAD
UCS,UAV controlling Systemy
UD WG,Underwater Diving Working Group 
UDEL ,University of Delaware (US) 
UEP,Ultra Electromatric Pulse
UFN,UNTIL FURTHER NOTICE
UGS,UNATTENDED GROUP SENSOR
UHARV ,Harvard University (US) 
UHF,ULTRA-HIGH FREQUENCY
UK,UNITED KINGDOM
UK AIR,UNITED KINGDOM AIR FORCE
UK/NLAF,UNITED KINGDOM/NETHERLANDS AMPHIBIOUS FORCE
UK/NLLF,UNITED KINGDOM-NETHERLANDS LANDING FORCE
UKADGE,UNITED KINGDOM AIR DEFENCE GROUND ENVIRONMENT
UKADR,UK NATO AIR DEFENCE REGION
UKMF,UNITED KINGDOM MOBILE FORCE
ULB ,Univ. Libre de Bruxelles (BE) 
ULN,Unit line Number
UMF,UNCONVENTIONAL MILITARY FORCES
UN,UNITED NATIONS
UNAMA,United Nations Assisting Mission to Afghanistan
UNAMI,United Nations Assisting Mission to Iraq
UNHCR,United Nations High Commissioner's Office for Refugees
UNIGE ,Universita degli Studi di Genova (IT) 
UNMIK,UN Mission Kosovo
UNREP,Underway Replenishment
UNSC,UNITED NATIONS SECURITY COUNCIL
UO,Urban Operations
UOR,Urgent Operational Requirements
URC,(NATO) Undersea Research Centre (ex SACLANTCENTRE)
URG,UNDERWAY REPLENISHMENT GROUP
USBL,Ultra Short BaseLine
US JOTS,UNITED STATES JOINT OPERATIONAL TACTICAL SYSTEM
USAREUR,US ARMY EUROPE
USCENTCOM,US CENTRAL COMMAND
USEUCOM,US EUROPEAN COMMAND
USEUCOM,U.S. European Command
USJFCOM,US Joint Forces Command(er)
USJFCOM,U.S. Joint Forces Command
USNIC,US NAVAL INTELLIGENCE CELL (ALSO US NATIONAL)
USSIOP,UNITED STATES SINGLE INTEGRATED OPERATIONAL PLAN
USV,Unmanned Surface Vehicle 
UTC,Unit Typ Code
UUV ,Unmanned Underwater Vehicle 
UUWSOR ,Underwater Warfare Statement of Operational Requirements 
UW ,Underwater 
UWWSOR,Bi-SC Underwater Warfare Statement of Operational Requirements
V&R,VIEWS & REFLECTIONS 
V/STOL,VERTICAL/SHORT TAKE-OFF AND LANDING (AIRCRAFT)
VBIED,Vehicle-borne Improvised Explosive Device
VBIED,Vehicle-borne Improvised Explosive Device
VCC,NATO Verification Coordinating Committee 
VCN,VHF Common Network
VDS,Variable Depth Sonar
VDU,VISUAL DISPLAY UNIT
VFR,VISUAL FLIGHT RULES
VHF ,Very High Frequency 
VID,VISUAL IDENTIFICATION
VIM,Vibration Isolation Module
VIP,VERY IMPORTANT PERSON
VLA ,Vertical Line Array 
VLF,VERY LOW FREQUENCY
VLLAD,VERY LOW-LEVEL AIR DEFENSE
VMC,VISUAL METEOROLOGICAL CONDITIONS
VNC,Voluntary National Contribution
VOB,Visitor and Observer Bureau
VoIP,Voice over Internet Protocol
VPN,Virtual Private Network
VSWMCM,Very Shallow Water Mine Countermeasures
VSWMCM WG,Very Shallow Water Mine Countermeasures Working Group 
VTC,Video Tele Conferencing 
VTOL,VERTICAL TAKE-OFF AND LANDING (AIRCRAFT)
VVIP,"VERY, VERY IMPORTANT PERSON"
WAM,Working Area Manager
WAN,Wide Area Network
WCB,WARTIME CONTINGENCY BASE
WECDIS,Warship Electronic Chart and Display Information System
WEF,WITH EFFECT FROM
WESTLANT,WESTERN ATLANTIC AREA
WESTNORTHWEST,MARITIME FORCES WEST NORTHWEST
WEU,WESTERN EUROPEAN UNION
WEZ,WEAPONS ENGAGEMENT ZONE
WFZ,WEAPONS FIRE ZONE
WG(s),Workinggroup(s)
WGADPE,WORKING GROUP OF NATIONAL ADP EXPERTS
WGNCOME,WORKING GROUP OF NATIONAL COMMUNICATION EXPERTS
WGNTE,Working Group of National Technical Experts 
WHIDDS,WAR HEADQUARTERS INFORMATION DISTRIBUTION/ DISSEMINATION AND DISPLAY SYSTEM
WHOI ,Woods Hole Oceanographic Institution (US) 
WHQ,WAR HEADQUARTERS
WIA,WOUNDED IN ACTION
WINDSAT ,Wind Measuring Satellite 
WISA,Windows IPconference with Shared Applications
WISE,Web Information Services Environment 
WLAN ,Wireless Local Area Network 
WMD,WEAPON OF MASS DESTRUCTION
WMO,Worldwide Meteorological Organization
WMP,WAR and Mobilization Plan
WOC,WING OPERATIONS CENTER
WP ,Working Paper 
WRM,War Reserve Material
WSS,HEAVY WEAPONS STORAGE SITE
WVSP ,Water Volume Sensors Package 
WWMCCS,WORLD WIDE MILITARY COMMAND CONTROL SYSTEM
XBP ,Expendable Bathymetric Probe 
XBT,Expendable Bathythermograph
XCAS,ALERT SCRAMBLED CAS MISSION
XCDT ,"Expendable Conductivity, Depth and Temperature "
XLABEL,XML Security Labeling System
ZBB,zero-based Budgeting
ZBR,zero-based (Budgeting) Review
ZOS,ZONES OF SEPARATION
